2022-05-20 13:05:983 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:372 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (ce04535e1edc4a76dd5aa50c676c89c4)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:78 INFO  Buypage :75 - Click on search button [[ChromeDriver: chrome on WINDOWS (ce04535e1edc4a76dd5aa50c676c89c4)] -> xpath: //a[normalize-space()='Search Cars']]
2022-05-20 13:05:134 INFO  Buypage :79 - Getting text from element [[ChromeDriver: chrome on WINDOWS (ce04535e1edc4a76dd5aa50c676c89c4)] -> xpath: //div[contains(@class,'heading main-heading item-ad-wrapper')]//h1]
2022-05-20 13:05:352 INFO  Buypage :85 - Select any make Audiinto make field [[ChromeDriver: chrome on WINDOWS (ce04535e1edc4a76dd5aa50c676c89c4)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:538 INFO  Buypage :90 - Select any model A5into model field [[ChromeDriver: chrome on WINDOWS (ce04535e1edc4a76dd5aa50c676c89c4)] -> xpath: //select[@id='models']]
2022-05-20 13:05:712 INFO  Buypage :95 - Select any location NSW - Newcastleinto location field [[ChromeDriver: chrome on WINDOWS (ce04535e1edc4a76dd5aa50c676c89c4)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:15 INFO  Buypage :100 - Select price $50,000into price field [[ChromeDriver: chrome on WINDOWS (ce04535e1edc4a76dd5aa50c676c89c4)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:834 INFO  Buypage :105 - Click on find my next car [[ChromeDriver: chrome on WINDOWS (ce04535e1edc4a76dd5aa50c676c89c4)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:224 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:288 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (fa87e68ba2d2c6ac550662ceb6b4e236)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:819 INFO  Buypage :75 - Click on search button [[ChromeDriver: chrome on WINDOWS (fa87e68ba2d2c6ac550662ceb6b4e236)] -> xpath: //a[normalize-space()='Search Cars']]
2022-05-20 13:05:187 INFO  Buypage :79 - Getting text from element [[ChromeDriver: chrome on WINDOWS (fa87e68ba2d2c6ac550662ceb6b4e236)] -> xpath: //div[contains(@class,'heading main-heading item-ad-wrapper')]//h1]
